Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2014","2014","1000 persons","65423","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2015","2015","1000 persons","65860","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2016","2016","1000 persons","66298","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2017","2017","1000 persons","66727","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2018","2018","1000 persons","67142","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","67530","*","Unofficial figure"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2511","Wheat and products","2014","2014","1000 tonnes","6507","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2511","Wheat and products","2015","2015","1000 tonnes","6783","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2511","Wheat and products","2016","2016","1000 tonnes","6911","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2511","Wheat and products","2017","2017","1000 tonnes","6944","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2511","Wheat and products","2018","2018","1000 tonnes","7246","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2511","Wheat and products","2019","2019","1000 tonnes","7507","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2014","2014","kg","99.46","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2015","2015","kg","102.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2016","2016","kg","104.25","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2017","2017","kg","104.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2018","2018","kg","107.92","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2019","2019","kg","111.17","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2511","Wheat and products","2014","2014","kcal/capita/day","769","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2511","Wheat and products","2015","2015","kcal/capita/day","796","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2511","Wheat and products","2016","2016","kcal/capita/day","808","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2511","Wheat and products","2017","2017","kcal/capita/day","805","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2511","Wheat and products","2018","2018","kcal/capita/day","836","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","664","Food supply (kcal/capita/day)","2511","Wheat and products","2019","2019","kcal/capita/day","866","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2014","2014","g/capita/day","24.99","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2015","2015","g/capita/day","25.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2016","2016","g/capita/day","26.25","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2017","2017","g/capita/day","26.13","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2018","2018","g/capita/day","27.14","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","674","Protein supply quantity (g/capita/day)","2511","Wheat and products","2019","2019","g/capita/day","28.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2014","2014","g/capita/day","3.05","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2015","2015","g/capita/day","3.16","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2016","2016","g/capita/day","3.22","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2017","2017","g/capita/day","3.27","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2018","2018","g/capita/day","3.4","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","684","Fat supply quantity (g/capita/day)","2511","Wheat and products","2019","2019","g/capita/day","3.54","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2807","Rice and products","2014","2014","1000 tonnes","502","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2807","Rice and products","2015","2015","1000 tonnes","523","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2807","Rice and products","2016","2016","1000 tonnes","489","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2807","Rice and products","2017","2017","1000 tonnes","522","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2807","Rice and products","2018","2018","1000 tonnes","454","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","5142","Food","2807","Rice and products","2019","2019","1000 tonnes","502","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2807","Rice and products","2014","2014","kg","7.68","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2807","Rice and products","2015","2015","kg","7.94","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2807","Rice and products","2016","2016","kg","7.38","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2807","Rice and products","2017","2017","kg","7.82","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2807","Rice and products","2018","2018","kg","6.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","645","Food supply quantity (kg/capita/yr)","2807","Rice and products","2019","2019","kg","7.43","Fc","Calculated data"
