name:code:group_id:group:mean_emissions
Bovine Meat:2731:0:Ruminant Meat:70.5
Mutton & Goat Meat:2732:0:Ruminant Meat:39.7
Pigmeat:2733:1:Other Meat:12.3
Poultry Meat:2734:1:Other Meat:9.9
Meat, Other:2735:1:Other Meat:12.3
Offals, Edible:2736:1:Other Meat:0.0
Eggs:2744:2:Egg:4.7
Butter, Ghee:2740:3:Dairy:8.3
Cream:2743:3:Dairy:4.89
Milk - Excluding Butter:2848:3:Dairy:3.2
Wheat and products:2511:4:Cereals, starch:1.64
Barley and products:2513:4:Cereals, starch:1.84
Maize and products:2514:4:Cereals, starch:1.7
Rye and products:2515:4:Cereals, starch:1.84
Oats:2516:4:Cereals, starch:1.84
Cereals, Other:2520:4:Cereals, starch:0.95
Potatoes and products:2531:4:Cereals, starch:0.5
Roots, Other:2534:4:Cereals, starch:0.4
Yams:2535:4:Cereals, starch:1.3
Rice and Products:2805:4:Cereals, starch:4.5
Beans:2546:5:Pulses:1.8
Peas:2547:5:Pulses:1.0
Pulses, Other and products:2549:5:Pulses:1.8
Soyabeans:2555:5:Pulses:1.8
Sweeteners, Other:2543:6:Sugar, veg. oil:0.0
Rape and Mustardseed:2558:6:Sugar, veg. oil:1.61
Oilcrops, Other:2570:6:Sugar, veg. oil:1.61
Soyabean Oil:2571:6:Sugar, veg. oil:6.3
Groundnut Oil:2572:6:Sugar, veg. oil:6.3
Sunflowerseed Oil:2573:6:Sugar, veg. oil:3.6
Rape and Mustard Oil:2574:6:Sugar, veg. oil:3.8
Palmkernel Oil:2576:6:Sugar, veg. oil:7.3
Palm Oil:2577:6:Sugar, veg. oil:7.3
Coconut Oil:2578:6:Sugar, veg. oil:7.3
Sesameseed Oil:2579:6:Sugar, veg. oil:3.8
Olive Oil:2580:6:Sugar, veg. oil:5.4
Maize Germ Oil:2582:6:Sugar, veg. oil:3.8
Oilcrops Oil, Other:2586:6:Sugar, veg. oil:3.8
Honey:2745:6:Sugar, veg. oil:1.46
Nuts and products:2551:7:Nuts, seeds:0.4
Groundnuts (Shelled Eq):2556:7:Nuts, seeds:3.2
Coconuts - Incl Copra:2560:7:Nuts, seeds:0.4
Sesame seed:2561:7:Nuts, seeds:1.61
Aquatic Plants:2775:8:Vegetables, fruits:0.5
Olives (including preserved):2563:8:Vegetables, fruits:1.06
Tomatoes and products:2601:8:Vegetables, fruits:2.1
Onions:2602:8:Vegetables, fruits:0.5
Oranges, Mandarines:2611:8:Vegetables, fruits:0.4
Lemons, Limes and products:2612:8:Vegetables, fruits:0.4
Grapefruit and products:2613:8:Vegetables, fruits:0.4
Citrus, Other:2614:8:Vegetables, fruits:0.4
Bananas:2615:8:Vegetables, fruits:0.9
Plantains:2616:8:Vegetables, fruits:0.9
Apples and products:2617:8:Vegetables, fruits:0.4
Pineapples and products:2618:8:Vegetables, fruits:1.1
Dates:2619:8:Vegetables, fruits:1.1
Grapes and products (excl wine):2620:8:Vegetables, fruits:1.5
Pimento:2641:8:Vegetables, fruits:0.5
Coffee and products:2630:9:Other:28.5
Cocoa Beans and products:2633:9:Other:46.7
Tea (including mate):2635:9:Other:21.0
Pepper:2640:9:Other:1.61
Cloves:2642:9:Other:0.4
Spices, Other:2645:9:Other:1.61
Wine:2655:9:Other:1.8
Beer:2656:9:Other:1.2
Beverages, Fermented:2657:9:Other:1.2
Beverages, Alcoholic:2658:9:Other:1.8
Infant food:2680:9:Other:16.4
Fats, Animals, Raw:2737:9:Other:0.0
Freshwater Fish:2761:10:Fish, seafood:10.7
Demersal Fish:2762:10:Fish, seafood:10.7
Pelagic Fish:2763:10:Fish, seafood:10.7
Marine Fish, Other:2764:10:Fish, seafood:10.7
Crustaceans:2765:10:Fish, seafood:26.9
Cephalopods:2766:10:Fish, seafood:26.9
Molluscs, Other:2767:10:Fish, seafood:26.9
Aquatic Animals, Others:2769:10:Fish, seafood:10.7
Fish, Body Oil:2781:11:Non-food:0.0
Fish, Liver Oil:2782:11:Non-food:0.0
Cottonseed Oil:2575:11:Non-food:0.0
