Element,Element Code,Item,Item Code,Year,Value
Total Population - Both sexes,511,Population,2501,1961,53054.0
Total Population - Both sexes,511,Population,2501,1962,53425.0
Total Population - Both sexes,511,Population,2501,1963,53802.0
Total Population - Both sexes,511,Population,2501,1964,54170.0
Total Population - Both sexes,511,Population,2501,1965,54516.0
Total Population - Both sexes,511,Population,2501,1966,54834.0
Total Population - Both sexes,511,Population,2501,1967,55124.0
Total Population - Both sexes,511,Population,2501,1968,55386.0
Total Population - Both sexes,511,Population,2501,1969,55619.0
Total Population - Both sexes,511,Population,2501,1970,55823.0
Total Population - Both sexes,511,Population,2501,1971,56000.0
Total Population - Both sexes,511,Population,2501,1972,56147.0
Total Population - Both sexes,511,Population,2501,1973,56265.0
Total Population - Both sexes,511,Population,2501,1974,56356.0
Total Population - Both sexes,511,Population,2501,1975,56421.0
Total Population - Both sexes,511,Population,2501,1976,56462.0
Total Population - Both sexes,511,Population,2501,1977,56481.0
Total Population - Both sexes,511,Population,2501,1978,56486.0
Total Population - Both sexes,511,Population,2501,1979,56489.0
Total Population - Both sexes,511,Population,2501,1980,56496.0
Total Population - Both sexes,511,Population,2501,1981,56512.0
Total Population - Both sexes,511,Population,2501,1982,56536.0
Total Population - Both sexes,511,Population,2501,1983,56575.0
Total Population - Both sexes,511,Population,2501,1984,56633.0
Total Population - Both sexes,511,Population,2501,1985,56715.0
Total Population - Both sexes,511,Population,2501,1986,56824.0
Total Population - Both sexes,511,Population,2501,1987,56957.0
Total Population - Both sexes,511,Population,2501,1988,57109.0
Total Population - Both sexes,511,Population,2501,1989,57268.0
Total Population - Both sexes,511,Population,2501,1990,57425.0
Total Population - Both sexes,511,Population,2501,1991,57580.0
Total Population - Both sexes,511,Population,2501,1992,57734.0
Total Population - Both sexes,511,Population,2501,1993,57889.0
Total Population - Both sexes,511,Population,2501,1994,58048.0
Total Population - Both sexes,511,Population,2501,1995,58213.0
Total Population - Both sexes,511,Population,2501,1996,58386.0
Total Population - Both sexes,511,Population,2501,1997,58566.0
Total Population - Both sexes,511,Population,2501,1998,58756.0
Total Population - Both sexes,511,Population,2501,1999,58959.0
Total Population - Both sexes,511,Population,2501,2000,59177.0
Total Population - Both sexes,511,Population,2501,2001,59411.0
Total Population - Both sexes,511,Population,2501,2002,59661.0
Total Population - Both sexes,511,Population,2501,2003,59929.0
Total Population - Both sexes,511,Population,2501,2004,60217.0
Total Population - Both sexes,511,Population,2501,2005,60526.0
Total Population - Both sexes,511,Population,2501,2006,60857.0
Total Population - Both sexes,511,Population,2501,2007,61209.0
Total Population - Both sexes,511,Population,2501,2008,61573.0
Total Population - Both sexes,511,Population,2501,2009,61943.0
Total Population - Both sexes,511,Population,2501,2010,62310.0
Total Population - Both sexes,511,Population,2501,2011,62672.0
Total Population - Both sexes,511,Population,2501,2012,63030.0
Total Population - Both sexes,511,Population,2501,2013,63384.0
Food,5142,Wheat and products,2511,1961,5479.0
Food,5142,Wheat and products,2511,1962,5441.0
Food,5142,Wheat and products,2511,1963,5401.0
Food,5142,Wheat and products,2511,1964,5326.0
Food,5142,Wheat and products,2511,1965,5251.0
Food,5142,Wheat and products,2511,1966,5299.0
Food,5142,Wheat and products,2511,1967,5008.0
Food,5142,Wheat and products,2511,1968,4955.0
Food,5142,Wheat and products,2511,1969,5076.0
Food,5142,Wheat and products,2511,1970,5002.0
Food,5142,Wheat and products,2511,1971,4941.0
Food,5142,Wheat and products,2511,1972,4813.0
Food,5142,Wheat and products,2511,1973,4830.0
Food,5142,Wheat and products,2511,1974,4683.0
Food,5142,Wheat and products,2511,1975,4860.0
Food,5142,Wheat and products,2511,1976,4965.0
Food,5142,Wheat and products,2511,1977,4867.0
Food,5142,Wheat and products,2511,1978,4813.0
Food,5142,Wheat and products,2511,1979,4753.0
Food,5142,Wheat and products,2511,1980,4647.0
Food,5142,Wheat and products,2511,1981,4550.0
Food,5142,Wheat and products,2511,1982,4373.0
Food,5142,Wheat and products,2511,1983,4499.0
Food,5142,Wheat and products,2511,1984,4517.0
Food,5142,Wheat and products,2511,1985,4952.0
Food,5142,Wheat and products,2511,1986,4765.0
Food,5142,Wheat and products,2511,1987,4926.0
Food,5142,Wheat and products,2511,1988,4847.0
Food,5142,Wheat and products,2511,1989,4815.0
Food,5142,Wheat and products,2511,1990,4725.0
Food,5142,Wheat and products,2511,1991,4758.0
Food,5142,Wheat and products,2511,1992,4907.0
Food,5142,Wheat and products,2511,1993,4823.0
Food,5142,Wheat and products,2511,1994,4813.0
Food,5142,Wheat and products,2511,1995,4921.0
Food,5142,Wheat and products,2511,1996,5043.0
Food,5142,Wheat and products,2511,1997,5334.0
Food,5142,Wheat and products,2511,1998,5561.0
Food,5142,Wheat and products,2511,1999,5629.0
Food,5142,Wheat and products,2511,2000,5670.0
Food,5142,Wheat and products,2511,2001,5478.0
Food,5142,Wheat and products,2511,2002,5953.0
Food,5142,Wheat and products,2511,2003,6012.0
Food,5142,Wheat and products,2511,2004,5925.0
Food,5142,Wheat and products,2511,2005,5947.0
Food,5142,Wheat and products,2511,2006,5916.0
Food,5142,Wheat and products,2511,2007,5940.0
Food,5142,Wheat and products,2511,2008,6094.0
Food,5142,Wheat and products,2511,2009,6096.0
Food,5142,Wheat and products,2511,2010,6126.0
Food,5142,Wheat and products,2511,2011,6074.0
Food,5142,Wheat and products,2511,2012,6145.0
Food,5142,Wheat and products,2511,2013,6251.0
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1961,103.27
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1962,101.85
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1963,100.39
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1964,98.33
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1965,96.32
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1966,96.63
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1967,90.85
Food supply quantity (kg/capita/yr),645,Wheat and products,2511,1968,89.46
